0.000000000000000000e+00 9.999999999999999293e-41
1.250000000000000000e-01 9.999999999999999293e-41
2.500000000000000000e-01 9.999999999999999293e-41
3.750000000000000000e-01 9.999999999999999293e-41
5.000000000000000000e-01 9.999999999999999293e-41
6.250000000000000000e-01 9.999999999999999293e-41
7.500000000000000000e-01 9.999999999999999293e-41
8.750000000000000000e-01 9.999999999999999293e-41
1.000000000000000000e+00 9.999999999999999293e-41
1.125000000000000000e+00 9.999999999999999293e-41
1.250000000000000000e+00 9.999999999999999293e-41
1.375000000000000000e+00 9.999999999999999293e-41
1.500000000000000000e+00 9.999999999999999293e-41
1.625000000000000000e+00 9.999999999999999293e-41
1.750000000000000000e+00 9.999999999999999293e-41
1.875000000000000000e+00 9.999999999999999293e-41
2.000000000000000000e+00 9.999999999999999293e-41
2.125000000000000000e+00 9.999999999999999293e-41
2.250000000000000000e+00 9.999999999999999293e-41
2.375000000000000000e+00 9.999999999999999293e-41
2.500000000000000000e+00 9.999999999999999293e-41
2.625000000000000000e+00 9.999999999999999293e-41
2.750000000000000000e+00 9.999999999999999293e-41
2.875000000000000000e+00 9.999999999999999293e-41
3.000000000000000000e+00 9.999999999999999293e-41
3.125000000000000000e+00 9.999999999999999293e-41
3.250000000000000000e+00 9.999999999999999293e-41
3.375000000000000000e+00 9.999999999999999293e-41
3.500000000000000000e+00 9.999999999999999293e-41
3.625000000000000000e+00 9.999999999999999293e-41
3.750000000000000000e+00 9.999999999999999293e-41
3.875000000000000000e+00 9.999999999999999293e-41
4.000000000000000000e+00 9.999999999999999293e-41
4.125000000000000000e+00 9.999999999999999293e-41
4.250000000000000000e+00 9.999999999999999293e-41
4.375000000000000000e+00 9.999999999999999293e-41
4.500000000000000000e+00 9.999999999999999293e-41
4.625000000000000000e+00 9.999999999999999293e-41
4.750000000000000000e+00 9.999999999999999293e-41
4.875000000000000000e+00 9.999999999999999293e-41
5.000000000000000000e+00 9.999999999999999293e-41
5.125000000000000000e+00 9.999999999999999293e-41
5.250000000000000000e+00 9.999999999999999293e-41
5.375000000000000000e+00 9.999999999999999293e-41
5.500000000000000000e+00 9.999999999999999293e-41
5.625000000000000000e+00 9.999999999999999293e-41
5.750000000000000000e+00 9.999999999999999293e-41
5.875000000000000000e+00 9.999999999999999293e-41
6.000000000000000000e+00 9.999999999999999293e-41
6.125000000000000000e+00 9.999999999999999293e-41
6.250000000000000000e+00 9.999999999999999293e-41
6.375000000000000000e+00 9.999999999999999293e-41
6.500000000000000000e+00 9.999999999999999293e-41
6.625000000000000000e+00 9.999999999999999293e-41
6.750000000000000000e+00 9.999999999999999293e-41
6.875000000000000000e+00 9.999999999999999293e-41
7.000000000000000000e+00 9.999999999999999293e-41
7.125000000000000000e+00 9.999999999999999293e-41
7.250000000000000000e+00 9.999999999999999293e-41
7.375000000000000000e+00 9.999999999999999293e-41
7.500000000000000000e+00 9.999999999999999293e-41
7.625000000000000000e+00 9.999999999999999293e-41
7.750000000000000000e+00 9.999999999999999293e-41
7.875000000000000000e+00 9.999999999999999293e-41
8.000000000000000000e+00 9.999999999999999293e-41
8.125000000000000000e+00 9.999999999999999293e-41
8.250000000000000000e+00 9.999999999999999293e-41
8.375000000000000000e+00 9.999999999999999293e-41
8.500000000000000000e+00 9.999999999999999293e-41
8.625000000000000000e+00 9.999999999999999293e-41
8.750000000000000000e+00 9.999999999999999293e-41
8.875000000000000000e+00 9.999999999999999293e-41
9.000000000000000000e+00 9.999999999999999293e-41
